,movieId,title
0,1,Toy Story (1995)
1,2,Jumanji (1995)
2,3,Grumpier Old Men (1995)
3,4,Waiting to Exhale (1995)
4,5,Father of the Bride Part II (1995)
5,6,Heat (1995)
6,7,Sabrina (1995)
7,8,Tom and Huck (1995)
8,9,Sudden Death (1995)
9,10,GoldenEye (1995)
10,11,"American President, The (1995)"
11,12,Dracula: Dead and Loving It (1995)
12,13,Balto (1995)
13,14,Nixon (1995)
14,15,Cutthroat Island (1995)
15,16,Casino (1995)
16,17,Sense and Sensibility (1995)
17,18,Four Rooms (1995)
18,19,Ace Ventura: When Nature Calls (1995)
19,20,Money Train (1995)
20,21,Get Shorty (1995)
21,22,Copycat (1995)
22,23,Assassins (1995)
23,24,Powder (1995)
24,25,Leaving Las Vegas (1995)
25,26,Othello (1995)
26,27,Now and Then (1995)
27,28,Persuasion (1995)
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,31,Dangerous Minds (1995)
31,32,12 Monkeys (Twelve Monkeys) (1995)
32,33,Wings of Courage (1995)
33,34,Babe (1995)
34,35,Carrington (1995)
35,36,Dead Man Walking (1995)
36,37,Across the Sea of Time (1995)
37,38,It Takes Two (1995)
38,39,Clueless (1995)
39,40,"Cry, the Beloved Country (1995)"
40,41,Richard III (1995)
41,42,Dead Presidents (1995)
42,43,Restoration (1995)
43,44,Mortal Kombat (1995)
44,45,To Die For (1995)
45,46,How to Make an American Quilt (1995)
46,47,Seven (a.k.a. Se7en) (1995)
47,48,Pocahontas (1995)
48,49,When Night Is Falling (1995)
49,50,"Usual Suspects, The (1995)"
50,51,Guardian Angel (1994)
51,52,Mighty Aphrodite (1995)
52,53,Lamerica (1994)
53,54,"Big Green, The (1995)"
54,55,Georgia (1995)
55,56,Kids of the Round Table (1995)
56,57,Home for the Holidays (1995)
57,58,"Postman, The (Postino, Il) (1994)"
58,59,"Confessional, The (Confessionnal, Le) (1995)"
59,60,"Indian in the Cupboard, The (1995)"
60,61,Eye for an Eye (1996)
61,62,Mr. Holland's Opus (1995)
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
63,64,Two if by Sea (1996)
64,65,Bio-Dome (1996)
65,66,Lawnmower Man 2: Beyond Cyberspace (1996)
66,67,Two Bits (1995)
67,68,French Twist (Gazon maudit) (1995)
68,69,Friday (1995)
69,70,From Dusk Till Dawn (1996)
70,71,Fair Game (1995)
71,72,Kicking and Screaming (1995)
72,73,"Misérables, Les (1995)"
73,74,Bed of Roses (1996)
74,75,Big Bully (1996)
75,76,Screamers (1995)
76,77,Nico Icon (1995)
77,78,"Crossing Guard, The (1995)"
78,79,"Juror, The (1996)"
79,80,"White Balloon, The (Badkonake sefid) (1995)"
80,81,Things to Do in Denver When You're Dead (1995)
81,82,Antonia's Line (Antonia) (1995)
82,83,Once Upon a Time... When We Were Colored (1995)
83,84,Last Summer in the Hamptons (1995)
84,85,Angels and Insects (1995)
85,86,White Squall (1996)
86,87,Dunston Checks In (1996)
87,88,Black Sheep (1996)
88,89,Nick of Time (1995)
89,90,"Journey of August King, The (1995)"
90,92,Mary Reilly (1996)
91,93,Vampire in Brooklyn (1995)
92,94,Beautiful Girls (1996)
93,95,Broken Arrow (1996)
94,96,In the Bleak Midwinter (1995)
95,97,"Hate (Haine, La) (1995)"
96,98,Shopping (1994)
97,99,Heidi Fleiss: Hollywood Madam (1995)
98,100,City Hall (1996)
99,101,Bottle Rocket (1996)
100,102,Mr. Wrong (1996)
101,103,Unforgettable (1996)
102,104,Happy Gilmore (1996)
103,105,"Bridges of Madison County, The (1995)"
104,106,Nobody Loves Me (Keiner liebt mich) (1994)
105,107,Muppet Treasure Island (1996)
106,108,Catwalk (1996)
107,109,Headless Body in Topless Bar (1995)
108,110,Braveheart (1995)
109,111,Taxi Driver (1976)
110,112,Rumble in the Bronx (Hont faan kui) (1995)
111,113,Before and After (1996)
112,114,Margaret's Museum (1995)
113,115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)"
114,116,Anne Frank Remembered (1995)
115,117,"Young Poisoner's Handbook, The (1995)"
116,118,If Lucy Fell (1996)
117,119,"Steal Big, Steal Little (1995)"
118,120,Race the Sun (1996)
119,121,"Boys of St. Vincent, The (1992)"
120,122,Boomerang (1992)
121,123,Chungking Express (Chóngqìng Senlín) (1994)
122,124,"Star Maker, The (L'Uomo delle stelle) (1995)"
123,125,Flirting With Disaster (1996)
124,126,"NeverEnding Story III, The (1994)"
125,127,"Silence of the Palace, The (Saimt el Qusur) (1994)"
126,128,Jupiter's Wife (1994)
127,129,Pie in the Sky (1996)
128,130,Angela (1995)
129,131,Frankie Starlight (1995)
130,132,Jade (1995)
131,133,Nueba Yol (1995)
132,134,Sonic Outlaws (1995)
133,135,Down Periscope (1996)
134,136,From the Journals of Jean Seberg (1995)
135,137,Man of the Year (1995)
136,138,"Neon Bible, The (1995)"
137,139,Target (1995)
138,140,Up Close and Personal (1996)
139,141,"Birdcage, The (1996)"
140,142,Shadows (Cienie) (1988)
141,143,Gospa (1995)
142,144,"Brothers McMullen, The (1995)"
143,145,Bad Boys (1995)
144,146,"Amazing Panda Adventure, The (1995)"
145,147,"Basketball Diaries, The (1995)"
146,148,"Awfully Big Adventure, An (1995)"
147,149,Amateur (1994)
148,150,Apollo 13 (1995)
149,151,Rob Roy (1995)
150,152,"Addiction, The (1995)"
151,153,Batman Forever (1995)
152,154,Belle de jour (1967)
153,155,Beyond Rangoon (1995)
154,156,Blue in the Face (1995)
155,157,Canadian Bacon (1995)
156,158,Casper (1995)
157,159,Clockers (1995)
158,160,Congo (1995)
159,161,Crimson Tide (1995)
160,162,Crumb (1994)
161,163,Desperado (1995)
162,164,Devil in a Blue Dress (1995)
163,165,Die Hard: With a Vengeance (1995)
164,166,"Doom Generation, The (1995)"
165,167,Feast of July (1995)
166,168,First Knight (1995)
167,169,Free Willy 2: The Adventure Home (1995)
168,170,Hackers (1995)
169,171,Jeffrey (1995)
170,172,Johnny Mnemonic (1995)
171,173,Judge Dredd (1995)
172,174,Jury Duty (1995)
173,175,Kids (1995)
174,176,Living in Oblivion (1995)
175,177,Lord of Illusions (1995)
176,178,Love & Human Remains (1993)
177,179,Mad Love (1995)
178,180,Mallrats (1995)
179,181,Mighty Morphin Power Rangers: The Movie (1995)
180,182,Moonlight and Valentino (1995)
181,183,Mute Witness (1994)
182,184,Nadja (1994)
183,185,"Net, The (1995)"
184,186,Nine Months (1995)
185,187,Party Girl (1995)
186,188,"Prophecy, The (1995)"
187,189,Reckless (1995)
188,190,Safe (1995)
189,191,"Scarlet Letter, The (1995)"
190,192,"Show, The (1995)"
191,193,Showgirls (1995)
192,194,Smoke (1995)
193,195,Something to Talk About (1995)
194,196,Species (1995)
195,197,"Stars Fell on Henrietta, The (1995)"
196,198,Strange Days (1995)
197,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
198,200,"Tie That Binds, The (1995)"
199,201,Three Wishes (1995)
200,202,Total Eclipse (1995)
201,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
202,204,Under Siege 2: Dark Territory (1995)
203,205,Unstrung Heroes (1995)
204,206,Unzipped (1995)
205,207,"Walk in the Clouds, A (1995)"
206,208,Waterworld (1995)
207,209,White Man's Burden (1995)
208,210,Wild Bill (1995)
209,211,"Browning Version, The (1994)"
210,212,Bushwhacked (1995)
211,213,Burnt by the Sun (Utomlyonnye solntsem) (1994)
212,214,Before the Rain (Pred dozhdot) (1994)
213,215,Before Sunrise (1995)
214,216,Billy Madison (1995)
215,217,"Babysitter, The (1995)"
216,218,Boys on the Side (1995)
217,219,"Cure, The (1995)"
218,220,Castle Freak (1995)
219,222,Circle of Friends (1995)
220,223,Clerks (1994)
